Título,Fecha,Contenido,Etiquetas,Número de Comentarios,Enlace
Unión Eléctrica pronostica déficit de 545 MW para el pico nocturno de este domingo,2024-06-30 09:26:00,"La Unión Eléctrica pronostica un déficit inferior a la última jornada. Foto: Juan Pablo Carreras/ACN. En el día de ayer se afectó el servicio por déficit de capacidad de generación en el SEN desde las 05:37 horas de la tarde hasta las 01:12 horas del día de hoy. La máxima afectación en el día fue 669 MW a las 18:30 horas , no coincidente con la hora pico. La disponibilidad del SEN a las 07:00 horas es de 2340 MW la demanda 2210 MW, se estima para el horario del mediodía una máxima afectación de 300 MW. Se encuentran fuera por avería la unidad 2 de la CTE Ernesto Guevara (Santa Cruz), la unidad 2 de la CTE Lidio Ramón Pérez (Felton) y la unidad 5 de la CTE Máximo Gómez (Mariel). Se encuentra en mantenimiento la unidad 1 de la CTE Santa Cruz. Las limitaciones en la generación térmica son de 467 WW. Se encuentran fuera de servicio por combustible 42 centrales de generación distribuida y la patana de Melones, para un total de 417 MW afectado por este concepto. Para el pico se estima la entrada de 9 motores en la patana de Melones con 135 MW. Con este pronóstico, se estima para la hora pico una disponibilidad de 2475 MW y una demanda máxima de 2950 MW, para un déficit de 475 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 545 MW en este horario. UNE-MINEM","Apagones, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Sociedad, Unión Eléctrica (UNE)",7,http://www.cubadebate.cu/noticias/2024/06/30/union-electrica-pronostica-deficit-de-545-mw-para-el-pico-nocturno-de-este-domingo/
Se prevé alto déficit de generación para este viernes,2024-06-28 08:22:00,"Termoeléctrica Antonio Guiteras. Foto: Archivo. La Unión Eléctrica informó que en el día de ayer se afectó el servicio por déficit de capacidad de generación en el SEN las 24 horas del día y se han mantenido las afectaciones al servicio durante la madrugada de hoy. La máxima afectación en el día fue 1085 MW a las 20:40 horas , coincidente con la hora pico. Superior a lo planificado por demanda por encima de lo planificado en 196 MW. La disponibilidad del SEN a las 07:00 horas es de 1980 MW la demanda 2350 MW con una afectación de 444 MW. Se estima para el horario del mediodía una máxima afectación de 850 MW. Se encuentra en avería la unidad de la CTE Guiteras, la unidad 2 de la CTE Santa Cruz, la unidad 8 de la CTE Mariel y la unidad 2 de la CTE Felton. Se encuentra en mantenimiento la unidad 1 de la CTE Santa Cruz. Las limitaciones en la generación térmica son de 416 WW. Se encuentran fuera de servicio por combustible 52 centrales de generación distribuida, la patana de Regla y la patana de Santiago de Cuba, para un total de 435 MW afectado por este concepto. Para el pico se estima la entrada de motores de la Generación Distribuida que se encuentran fuera por combustible con 130 MW y la recuperación de 50 MW en la patana de Regla. Con este pronóstico, se estima para la hora pico una disponibilidad de 2160 MW y una demanda máxima de 3150 MW, para un déficit de 990 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 1060 MW en este horario.","Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Termoeléctrica, Unión Eléctrica (UNE)",38,http://www.cubadebate.cu/noticias/2024/06/28/se-preve-alto-deficit-de-generacion-para-este-viernes/
Termoeléctrica Antonio Guiteras sale de servicio por avería en la caldera: Déficit en horario pico nocturno sobrepasa los 900 MW,2024-06-27 09:15:00,"La Central Termoeléctrica Antonio Guiteras saldrá de servicio en la mañana de este jueves 27 de junio debido a una avería en la caldera, informó la Unión Eléctrica (UNE) en su parte habitual. La empresa estimó para el horario del mediodía una máxima afectación de 550 MW, mientras que en horario pico nocturno sobrepasa los 900 MW. De acuerdo con la UNE, en el día de ayer se afectó el servicio por déficit de capacidad de generación en el SEN desde las 14:40 horas de la tarde y se han mantenido las afectaciones al servicio durante la madrugada de hoy. La máxima afectación en el día fue 746 MW a las 20:40 horas, coincidente con la hora pico. La disponibilidad del SEN a las 07:00 horas es de 2150 MW la demanda 2300 MW con una afectación de 150 MW. La CTE Antonio Guiteras saldrá de servicio en la mañana por una avería en la caldera. Se estima para el horario del mediodía una máxima afectación de 550 MW. Se encuentra en avería las unidades 5 de la CTE Mariel (en proceso de arranque), la unidad 2 de la CTE Santa Cruz y la unidad 2 de la CTE Felton. Se encuentra en mantenimiento la unidad 1 de la CTE Santa Cruz. Las limitaciones en la generación térmica son de 508 MW. Se encuentran fuera de servicio por combustible 50 centrales de generación distribuida y la patana de Regla, para un total de 478 MW afectado por este concepto. Para el pico se estima la entrada de la unidad 5 de la CTE Máximo Gómez con 60 MW. Con este pronóstico, se estima para la hora pico una disponibilidad de 2010 MW y una demanda máxima de 2900 MW, para un déficit de 890 MW, por lo que, de mantenerse las condiciones previstas, se pronostica una afectación de 960 MW en este horario. (Con información de la UNE)","Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Termoeléctrica, Unión Eléctrica (UNE)",68,http://www.cubadebate.cu/noticias/2024/06/27/termoelectrica-antonio-guiteras-sale-de-servicio-por-averia-en-la-caldera-deficit-en-horario-pico-nocturno-sobrepasa-los-900-mw/
Unión Eléctrica no pronostica afectaciones en horario diurno,2024-06-23 09:12:00,"Este sábado se afectó el servicio por déficit de capacidad de generación en el SEN desde las 09:37 horas de la mañana hasta las 21:17 de la noche. La máxima afectación en el día fue 345 MW a las 19:00 horas, coincidente con la hora pico. La disponibilidad del SEN a las 07:00 horas es de 2400 MW, la demanda 2020 MW, con todo el sistema con servicio. No se pronostica afectación para el horario del mediodía, aunque se operará con bajas reservas. Se encuentra en avería la unidad 2 de la CTE Felton y las unidades 3 y 6 de la CTE Renté. Se encuentra en mantenimiento la unidad 1 de la CTE Santa Cruz. Las limitaciones en la generación térmica son de 404 WW. Se encuentran fuera de servicio por combustible 39 centrales de generación distribuida y la patana de Regla, para un total de 170 MW afectado por este concepto. Para el pico se estima la entrada de motores de la Generación Distribuida que están en espera de mantenimiento y se autoriza su uso con 85 MW, la entrada de 3 motores de la patana de Melones con 50 MW y la entrada de la unidad 6 de la CTE Renté (en proceso de arranque) con 60 MW. Con este pronóstico, se estima para la hora pico una disponibilidad de 2595 MW y una demanda máxima de 2750 MW, para un déficit de 155 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 225 MW en este horario. (Tomado de UNE-MINEM)","Economía, Electricidad, Generación Eléctrica, Gobierno, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Unión Eléctrica (UNE)",6,http://www.cubadebate.cu/noticias/2024/06/23/union-electrica-no-pronostica-afectaciones-en-horario-diurno/
UNE: Se pronostica una afectación de 395 MW en el horario pico,2024-06-18 08:48:00,"Unión Eléctrica En el día de ayer se afectó el servicio por déficit de capacidad de generación en el SEN desde las 15:44 horas de la tarde hasta las 21:02 horas de la noche. La máxima afectación en el día fue 274 MW a las 20:00 horas, no coincidente con la hora pico. La disponibilidad del SEN a las 07:00 horas es de 2300 MW la demanda 2185 MW con todo el sistema con servicio, en el horario del mediodía existe riesgo de afectación el servicio al estar operando el SEN con baja reserva. Se encuentra en avería la unidad 2 de la CTE Santa Cruz, la unidad 6 de Energas Boca de Jaruco y la unidad 2 de la CTE Felton. Se encuentra en mantenimiento la unidad 1 de la CTE Santa Cruz. Las limitaciones en la generación térmica son de 456 WW. Se encuentran fuera de servicio por combustible 35 centrales de generación distribuida, con 206 MW afectado por este concepto. Para el pico se estima la entrada de la unidad 6 de Energas Boca de Jaruco con 110 MW y la entrada de 4 motores en la patana de Melones con 65 MW. Con este pronóstico, se estima para la hora pico una disponibilidad de 2475 MW y una demanda máxima de 2800 MW, para un déficit de 325 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 395 MW en este horario. (Con información de UNE-MINEM)","Apagón, Apagones, Cuba, Economía, Electricidad, Energía, Gobierno, Ministerio de Energía y Minas (MINEM)",9,http://www.cubadebate.cu/noticias/2024/06/18/une-se-pronostica-una-afectacion-de-395-mw-en-el-horario-pico/
Unión Eléctrica informa afectación de 530 MW para el horario pico nocturno,2024-06-10 09:10:00,"En el día de ayer se afectó el servicio por déficit de capacidad desde las 06:17 horas de la mañana concentrada la afectación en la zona centro oriental por altas transferencia, el servicio quedo restablecido a las 00:30 horas de la madrugada de hoy. La máxima afectación en el día fue 908 MW a las 21:00 horas, coincidente con la hora pico. La disponibilidad del SEN a las 07:00 horas es de 2340 MW la demanda 2230 MW con todo el sistema con servicio, se estima para el horario del mediodía una máxima afectación de 450 MW fundamentalmente en la zona centro oriental. Se encuentra en avería la unidad 6 de la CTE Nuevitas, la unidad 6 de la CTE Rente y la unidad 2 de la CTE Felton . Se encuentran en mantenimiento la unidad 1 de la CTE Santa Cruz, la unidad 5 de la CTE Nuevitas y la unidad 5 de la CTE Rente. Las limitaciones en la generación térmica son de 330 MW. Se encuentran fuera de servicio por combustible 40 centrales de generación distribuida, para un total de 249 MW afectado por este concepto. Para el pico se estima la entrada de motores de la generación distribuida que se encuentran fuera por combustible con 100 MW y la entrada de la unidad 6 de la CTE Nuevitas con 100 MW. Con este pronóstico, se estima para la hora pico una disponibilidad de 2540 MW y una demanda máxima de 3000 MW, para un déficit de 460 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 530 MW en este horario. (Con información de UNE-MINEM)","Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Unión Eléctrica (UNE)",5,http://www.cubadebate.cu/noticias/2024/06/10/union-electrica-informa-afectacion-de-530-mw-para-el-horario-pico-nocturno/
Se pronostica una afectación de 980 MW en el horario pico de este miércoles,2024-05-15 10:26:00,"Según el reporte diario de la Unión Eléctrica, en el día de ayer se afectó el servicio por déficit de capacidad de generación las 24 horas del día. La máxima afectación en el día fue 1322 MW a las 22:40 horas, coincidente con la hora pico. La disponibilidad del SEN a las 07:00 horas es de 1960 MW y la demanda 2610 MW, con 688 MW afectados por déficit de capacidad de generación, se estima una máxima afectación de 850 MW en el horario diurno. Se encuentra en avería la unidad 6 de la CTE Mariel, la unidad 6 de la CTE Nuevitas, la unidad 2 de la CTE Felton y la unidad 5 de la CTE Rente. Se encuentran en mantenimiento las unidades 1 y 3 de la CTE Santa Cruz la unidad 1 de la CTE Felton y la unidad 3 de la CTE Rente. Las limitaciones en la generación térmica son de 313 MW. Se encuentran fuera de servicio por combustible 35 centrales de generación distribuida, con 274 MW afectado por este concepto. Para el pico se estima la entrada de la unidad 5 de la CTE Rente con 60 MW, la entrada de la unidad 3 de la CTE Rente con 60 MW, la entrada de la unidad 6 de la CTE Mariel con 90 MW, la entrada de motores de la Generación Distribuida que se encuentran fuera por combustible con 80 MW y la entrada de motores de la Generación Distribuida que están en espera de mantenimiento y se autoriza su uso con 90 MW. Con este pronóstico, se estima para la hora pico una disponibilidad de 2340 MW y una demanda máxima de 3250 MW, para un déficit de 910 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 980 MW en este horario.","Cuba, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Unión Eléctrica (UNE)",17,http://www.cubadebate.cu/noticias/2024/05/15/se-pronostica-una-afectacion-de-980-mw-en-el-horario-pico-de-este-miercoles/
"Déficit de más de 1000 MW en horario pico nocturno de este jueves, informa la Unión Eléctrica",2024-05-09 09:41:00,"Foto: Archivo/Cubadebate. La Unión Eléctrica (UNE) informó en su parte habitual que se prevé para la hora pico de este 8 de Mayo un déficit superior a los 1000 MW, mientras que en el horario diurno las afectaciones ascienden a 750 MW. En el día de ayer se afectó el servicio por déficit de capacidad de generación las 24 horas del día. La máxima afectación en el día fue 1268 MW a las 20:50 horas, coincidente con la hora pico. La disponibilidad del SEN a las 07:00 horas es de 1970 MW y la demanda 2450 MW, con 500 MW afectados por déficit de capacidad de generación, se estima una máxima afectación de 750 MW en el horario diurno. Se encuentran en avería la unidad 2 de la CTE Felton. Se encuentra en mantenimiento las unidades 1 y 3 de la CTE Santa Cruz, la unidad 6 de la CTE Nuevitas, la unidad 8 de la CTE Mariel y la unidad 1 de la CTE Felton. La unidad 5 de la CTE Nuevitas se encuentra fuera por falta de agua cruda por avería en la conductora, el bombeo se restableció en el horario de la madrugada. Las limitaciones en la generación térmica son de 413 MW. Se encuentran fuera de servicio por combustible 38 centrales de generación distribuida, con 338 MW afectado por este concepto. Para el pico se estima la entrada de motores de la Generación Distribuida que están en espera de mantenimiento y se autoriza su uso con 80 MW, la entrada de la unidad 5 de la CTE Nuevitas con 75 MW y la entrada de motores de la Generación Distribuida que se encuentran fuera por combustible con 80 MW. Con este pronóstico, se estima para la hora pico una disponibilidad de 2210 MW y una demanda máxima de 3150 MW, para un déficit de 940 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 1010 MW en este horario. (Con información de la UNE) Termoeléctrica Felton. Foto: Archivo. Como se ha venido informando en estos meses de enero a junio, se incrementan las actividades de mantenimientos a las Centrales Térmicas, Energas y Generación Distribuida con el propósito de llegar a los meses de mayor consumo y demanda eléctrica que son julio y agosto, meses además, del descanso de la población. Particularmente, en estos días, cómo está planificado el mantenimiento de la Unidad de Felton por 25 días se han incrementado las afectaciones al servicio eléctrico al tener que limitar algunas Unidades de Generación Térmica, actividad que no estaba prevista, para su limpieza y reparación de algunas de sus partes por imprevistos a partir del estado técnico en que se encuentran. Se pronostica el cumplimiento del plan de mantenimiento hasta los últimos días del mes de junio y poder tener un verano con el mínimo de afectaciones que siempre ocurrirán si existe algunas salidas imprevistas de Unidades de Generación. El personal de la Unión Eléctrica trabaja incansablemente con los escasos recursos con que cuenta, a partir de la difícil situación financiera ocasionada por las férreas restricciones que nos imponen nuestros enemigos, manteniendo nuestras unidades de Generación. (Con información de la UNE) Compartir en Facebook Compartir en Twitter Compartir en WhatsApp Compartir en Telegram Noticias Economía Condecora mandatario cubano a campesinos destacados 15 mayo 2025 | + | Liga Élite entra a semifinales 15 mayo 2025 | + | Díaz-Canel inicia por la Isla de la Juventud segunda vuelta de los recorridos de la Dirección del Partido por el país 15 mayo 2025 | + | Declara el presidente de la República Duelo Oficial por fallecimiento de José Mujica 15 mayo 2025 | + | El Fútbol Club Barcelona es campeón de La Liga española 15 mayo 2025 | 2 | ir aNoticias » Díaz-Canel inicia por la Isla de la Juventud segunda vuelta de los recorridos de la Dirección del Partido por el país 15 mayo 2025 | + | Constata miembro del Buró Político del Partido Comunista de Vietnam proyecto cubano-vietnamita 15 mayo 2025 | 2 | La Unión Eléctrica pronostica una afectación de 1 460 MW para el horario pico nocturno 15 mayo 2025 | 9 | Congreso de la ANAP: Con la mirada puesta en aumentar la producción alimentaria 15 mayo 2025 | 39 Sancti Spíritus y Villa Clara reanudan venta de gas licuado 14 mayo 2025 | 26 | ir aEconomía »","Apagones, Cuba, Economía, Electricidad, Energía, Gobierno, Ministerio de Energía y Minas (MINEM), Termoeléctrica, Unión Eléctrica (UNE)",82,http://www.cubadebate.cu/noticias/2024/05/09/deficit-de-mas-de-1000-mw-en-horario-pico-nocturno-de-este-jueves-informa-la-union-electrica/
UNE: Se pronostica una afectación de 355 MW durante horario pico nocturno de este viernes,2024-04-19 08:21:00,"Termoeléctrica Felton. Foto: Archivo. A través de su página en la red social Facebook, la Unión Eléctrica informó que este jueves se afectó el servicio por déficit de capacidad de generación desde las 18:22 horas de la tarde hasta las 00:29 horas de la madrugada del viernes 19 de abril. De acuerdo con el comunicado, la máxima afectación en el día fue en el horario pico con 197 MW a las 20:10 horas. La disponibilidad del Sistema Eléctrico Nacional (SEN) a las 07:00 horas de este viernes fue de 2080 MW y la demanda 2000 MW. Se estima una afectación de 150 MW en el horario de la media. La UNE explicó que se encuentran fueran de servicio por avería la unidad 3 de la CTE Santa Cruz, la unidad 5 de la CTE Nuevitas y la unidad 2 de la CTE Felton . Asimismo, permanecen en mantenimiento la unidad 1 de la CTE Santa Cruz, la 6 de la CTE Nuevitas, la 5 de la CTE Renté y las unidades 6 y 8 de la CTE Mariel. Según la fuente, las limitaciones en la generación térmica son de 345 MW . “Se encuentran fuera de servicio por combustible 32 centrales de generación distribuida, con 205 MW afectado por este concepto”, destacó el texto. Para el pico se estima la entrada de seis motores de la central fuel de Mariel con 85 MW y la entrada de motores de Generación Distribuida que están a la espera de mantenimiento y se autoriza su uso con 150 MW. Con este pronóstico, subrayó la entidad, se estima para la hora pico una disponibilidad de 2315 MW y una demanda máxima de 2600 MW, para un déficit de 285 MW , por lo que de mantenerse las condiciones previstas se pronostica una afectación de 355 MW en este horario. (Con información de la Unión Eléctrica)","Combustibles, Cuba, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), situación energética, Termoeléctrica, Unión Eléctrica (UNE)",12,http://www.cubadebate.cu/noticias/2024/04/19/une-se-pronostica-una-afectacion-de-355-mw-durante-horario-pico-nocturno-de-este-viernes/
Unión Eléctrica no prevé afectaciones durante el pico nocturno de este martes,2024-04-16 09:57:00,"La Unión Eléctrica informa que en el día de ayer no se afectó el servicio por déficit de capacidad de generación en el SEN. La disponibilidad del SEN a las 07:00 horas es de 2478 MW y la demanda 1900 MW. No se estima afectación en el horario de la media. Se encuentran fueran de servicio por avería la unidad 2 de la CTE Felton. Se encuentra en mantenimiento la unidad 1 de la CTE Santa Cruz, la unidad 6 de la CTE Nuevitas y las unidades 6 y 8 de la CTE Mariel. Las limitaciones en la generación térmica son de 454 MW. La nota agrega que se encuentran fuera de servicio por combustible 30 centrales de generación distribuida, con 109 MW afectado por este concepto. Para el pico se estima la entrada de motores de Generación Distribuida que están a la espera de mantenimiento y se autoriza su uso con 153 MW y la entrada de 2 motores de la central fuel de Melones con 30 MW. Con este pronóstico, se estima para la hora pico una disponibilidad de 2661 MW y una demanda máxima de 2600 MW, para una reserva de 61 MW, por lo que de mantenerse las condiciones previstas no se pronostica afectación al servicio en este horario.","Cuba, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Unión Eléctrica (UNE)",4,http://www.cubadebate.cu/noticias/2024/04/16/union-electrica-no-preve-afectaciones-durante-el-pico-nocturno-de-este-martes/
